Student_ID,Student_Name,Gender,Class,Attendance_Pct,Mathematics_Exam_100,Physics_Exam_100,Chemistry_Exam_100,English_Exam_100,Computer_Science_Exam_100,Biology_Exam_100,History_Exam_100,Mathematics_Internal_50,Physics_Internal_50,Chemistry_Internal_50,English_Internal_50,Computer_Science_Internal_50,Biology_Internal_50,History_Internal_50,Avg_Exam_Score,Avg_Internal_Score,Overall_Score_Pct,Grade,Performance_Category,Pass_Fail
STU1180,Naveen Hegde,Male,Class 12A,92,65,90,90,66,78,75,84,30,32,39,29,40,35,29,78.29,33.43,78.17,B,Good,Pass
STU1181,Sneha Sharma,Female,Class 10B,74,54,48,67,49,58,74,73,22,26,38,23,31,25,31,60.43,28.0,62.04,C,Average,Pass
STU1182,Nisha Rajan,Female,Class 9A,93,78,82,86,91,98,91,86,50,36,46,38,46,45,38,87.43,42.71,88.04,A,Very Good,Pass
STU1183,Yash Hegde,Male,Class 10B,53,41,36,52,44,30,56,48,26,15,12,27,15,14,20,43.86,18.43,43.94,F,Poor,Fail
STU1184,Rahul Malhotra,Male,Class 11A,66,51,42,56,34,48,58,38,29,20,26,12,12,22,16,46.71,19.57,48.68,D,Below Average,Pass
STU1185,Ishita Menon,Female,Class 9A,76,62,65,79,86,80,81,79,40,43,33,42,40,35,44,76.0,39.57,76.79,B,Good,Pass
STU1186,Sunil Joshi,Male,Class 11A,89,93,94,76,81,80,86,98,49,45,49,47,46,45,35,86.86,45.14,88.14,A,Very Good,Pass
STU1187,Pallavi Menon,Female,Class 11B,67,45,52,59,73,64,46,65,24,24,28,32,28,22,36,57.71,27.71,59.0,D,Below Average,Pass
STU1188,Pallavi Ghosh,Female,Class 10A,67,31,59,47,58,54,33,57,18,25,30,15,23,21,19,48.43,21.57,50.82,D,Below Average,Pass
STU1189,Vivek Nair,Male,Class 11A,95,98,86,91,95,82,86,92,47,45,36,45,45,50,46,90.0,44.86,90.93,A+,Excellent,Pass
STU1190,Ankit Pillai,Male,Class 11B,49,34,36,30,58,57,51,44,24,26,24,30,21,17,30,44.29,24.57,46.44,D,Below Average,Pass
STU1191,Rahul Banerjee,Male,Class 11A,68,68,63,62,66,74,75,55,22,26,38,22,38,25,29,66.14,28.57,64.26,C,Average,Pass
STU1192,Tanvi Yadav,Female,Class 12A,77,86,75,70,88,65,68,88,36,45,28,33,36,35,28,77.14,34.43,75.04,B,Good,Pass
STU1193,Rohit Saxena,Male,Class 12B,51,58,49,39,57,46,50,33,18,19,13,16,13,14,14,47.43,15.29,43.93,F,Poor,Fail
STU1194,Simran Das,Female,Class 9A,91,83,92,95,75,95,85,75,41,45,45,35,50,47,45,85.71,44.0,87.34,A,Very Good,Pass
STU1195,Rohit Roy,Male,Class 9A,87,95,94,85,99,90,94,87,43,49,35,35,45,45,36,92.0,41.14,88.57,A,Very Good,Pass
STU1196,Smita Jain,Female,Class 11B,35,17,15,19,21,19,31,39,7,16,16,18,16,22,22,23.0,16.71,28.0,F,Poor,Fail
STU1197,Vivek Mahajan,Male,Class 11B,52,53,49,38,56,52,45,54,13,21,29,26,29,20,23,49.57,23.0,49.16,D,Below Average,Pass
STU1198,Priya Malhotra,Female,Class 12B,78,80,85,84,71,64,80,67,40,30,28,32,31,29,45,75.86,33.57,74.11,B,Good,Pass
STU1199,Mohit Bhat,Male,Class 10A,68,75,64,56,68,49,73,50,25,36,20,31,27,34,35,62.14,29.71,62.63,C,Average,Pass
